,PM2.5(微克每立方米), PM10(微克每立方米), SO2(微克每立方米), NO2(微克每立方米), CO(毫克每立方米), O3(微克每立方米), U(m/s), V(m/s), TEMP(K), RH(%), PSFC(Pa), lat, lon, ,AQI
0,49.04,73.02,5.02,20.68,0.71,73.94,-1.87,-0.18,293.06,78.62,100172.95,18.34,109.25, ,67.55
1,54.87,84.95,5.35,32.52,0.85,72.08,-2.06,-0.43,293.33,77.36,100368.78,18.34,109.38, ,74.83749999999999
2,54.38,83.74,5.67,34.21,0.85,70.96,-2.46,-1.66,293.31,76.57,100242.34,18.33,109.52, ,74.225
3,51.08,77.26,5.09,26.88,0.78,73.96,-2.73,-2.72,292.94,79.11,100372.12,18.33,109.66, ,70.1
4,38.69,50.05,5.14,7.84,0.46,75.05,-2.52,-1.04,294.06,74.1,101417.63,18.49,108.83, ,54.6125
5,43.77,59.02,5.22,11.45,0.55,76.7,-2.68,-0.67,293.42,75.7,100512.45,18.49,108.97, ,60.962500000000006
6,47.46,66.33,5.2,15.56,0.62,75.69,-2.28,-0.41,292.52,78.0,99248.09,18.48,109.11, ,65.575
7,52.97,76.86,5.53,23.39,0.74,70.88,-1.7,-0.83,292.44,77.83,98554.83,18.48,109.25, ,72.4625
8,56.17,82.85,5.71,29.34,0.81,70.22,-1.38,-0.43,292.11,78.82,97665.66,18.47,109.39, ,76.4625
9,56.14,82.31,6.1,33.78,0.83,69.97,-1.46,-1.32,291.91,79.36,97541.97,18.46,109.53, ,76.425
10,52.52,76.42,5.37,27.92,0.79,71.84,-1.33,-2.32,292.98,76.45,99862.77,18.46,109.67, ,71.9
11,47.2,66.93,4.55,18.41,0.69,75.38,-1.63,-3.12,293.45,75.78,101123.87,18.45,109.81, ,65.25
12,39.94,52.95,4.19,11.02,0.54,80.63,-2.35,-3.49,293.35,78.04,101326.64,18.45,109.95, ,56.175
13,44.07,54.69,5.31,8.5,0.48,73.01,-3.29,-1.94,292.23,78.71,98222.37,18.62,108.84, ,61.3375
14,49.19,63.0,5.36,11.75,0.56,72.97,-2.51,-2.01,291.7,80.33,97977.48,18.62,108.98, ,67.7375
15,49.36,64.65,5.46,13.45,0.59,73.38,-2.24,-1.55,292.24,77.07,99274.98,18.61,109.12, ,67.95
16,50.0,66.21,5.41,14.83,0.62,71.42,-2.54,-2.25,291.98,76.29,98143.98,18.61,109.26, ,68.75
17,51.42,68.39,5.57,16.64,0.65,72.69,-1.96,-1.1,290.66,80.11,95315.47,18.6,109.4, ,70.525
18,51.64,68.28,5.21,18.92,0.68,71.75,-0.98,-1.44,290.66,81.3,95667.22,18.6,109.54, ,70.8
19,51.06,68.19,5.04,20.19,0.7,73.45,-0.87,-2.3,292.5,76.39,98647.41,18.59,109.67, ,70.075
20,48.92,64.98,4.68,18.26,0.67,74.39,-1.3,-3.36,293.0,76.47,99740.69,18.59,109.81, ,67.4
21,44.58,57.13,4.56,13.65,0.59,78.28,-1.48,-3.39,292.8,79.0,99974.39,18.58,109.95, ,61.974999999999994
22,37.62,45.99,4.37,7.8,0.46,83.02,-1.66,-3.48,292.84,80.15,100613.48,18.57,110.09, ,53.275
23,37.74,42.44,5.6,4.13,0.37,76.24,-3.49,-1.98,292.84,77.07,99955.92,18.76,108.7, ,53.425000000000004
