,PM2.5(微克每立方米), PM10(微克每立方米), SO2(微克每立方米), NO2(微克每立方米), CO(毫克每立方米), O3(微克每立方米), U(m/s), V(m/s), TEMP(K), RH(%), PSFC(Pa), lat, lon, ,AQI
0,63.55,86.46,6.43,16.06,0.76,101.7,-6.47,-0.26,292.77,81.17,100109.53,18.34,109.25, ,85.6875
1,69.25,97.05,6.56,22.55,0.85,107.57,-5.98,-1.6,292.84,82.11,100314.42,18.34,109.38, ,92.8125
2,71.74,100.74,6.51,21.79,0.87,110.6,-5.34,-2.88,292.49,84.47,100197.53,18.33,109.52, ,95.925
3,70.79,98.99,6.0,14.54,0.83,115.27,-4.88,-2.98,292.4,87.22,100334.97,18.33,109.66, ,94.73750000000001
4,51.77,63.64,6.19,6.17,0.55,85.55,-4.95,0.98,293.49,77.74,101353.73,18.49,108.83, ,70.9625
5,57.29,71.98,6.53,9.23,0.63,93.75,-4.35,0.35,293.25,78.46,100443.66,18.49,108.97, ,77.8625
6,60.67,79.23,6.66,13.05,0.69,98.0,-5.11,0.9,292.72,79.35,99173.33,18.48,109.11, ,82.0875
7,64.2,86.45,6.7,17.36,0.76,100.47,-6.43,0.51,292.38,80.48,98482.59,18.48,109.25, ,86.5
8,67.87,92.8,6.72,19.74,0.8,103.72,-6.72,-1.23,291.52,84.82,97605.95,18.47,109.39, ,91.0875
9,71.67,97.89,6.65,20.8,0.83,103.63,-5.38,-2.35,290.88,89.69,97501.12,18.46,109.53, ,95.8375
10,71.19,97.52,6.22,16.88,0.83,105.51,-3.84,-2.46,292.14,85.7,99831.02,18.46,109.67, ,95.2375
11,66.97,90.88,5.78,9.08,0.77,109.3,-3.82,-2.56,292.92,83.63,101091.86,18.45,109.81, ,89.9625
12,59.33,77.61,5.48,4.36,0.65,106.38,-4.93,-2.63,293.49,83.55,101292.14,18.45,109.95, ,80.4125
13,55.09,65.4,6.32,6.17,0.55,84.9,-4.73,0.42,292.12,80.03,98153.1,18.62,108.84, ,75.11250000000001
14,61.2,74.42,6.42,8.78,0.63,91.33,-3.19,-0.66,291.66,82.1,97910.04,18.62,108.98, ,82.75
15,61.49,77.17,6.45,9.94,0.67,96.08,-3.31,-0.02,292.75,77.1,99195.76,18.61,109.12, ,83.1125
16,62.32,79.95,6.3,10.63,0.7,97.24,-5.6,0.81,292.52,76.58,98057.53,18.61,109.26, ,84.15
17,65.15,84.2,6.38,10.82,0.72,101.17,-6.46,0.47,290.19,86.78,95251.4,18.6,109.4, ,87.6875
18,70.34,91.9,6.05,13.21,0.76,97.12,-5.1,-0.37,289.57,93.48,95629.9,18.6,109.54, ,94.17500000000001
19,69.65,92.08,6.0,12.87,0.77,99.63,-4.13,-1.49,291.72,85.62,98619.59,18.59,109.67, ,93.3125
20,68.58,90.65,5.87,10.59,0.75,101.76,-4.08,-2.45,292.46,83.62,99708.88,18.59,109.81, ,91.975
21,64.57,83.37,5.81,6.45,0.69,103.29,-4.1,-2.72,292.39,85.69,99942.05,18.58,109.95, ,86.96249999999999
22,56.77,71.48,5.48,3.0,0.58,100.79,-4.87,-2.43,292.96,85.43,100578.77,18.57,110.09, ,77.2125
23,49.94,55.8,6.78,3.27,0.46,79.28,-3.0,1.75,293.47,75.27,99873.74,18.76,108.7, ,68.675
24,55.74,61.4,6.84,3.95,0.49,81.64,-3.7,1.02,291.18,81.65,96205.87,18.75,108.84, ,75.92500000000001
25,58.84,65.8,6.71,4.54,0.54,85.47,-3.3,0.33,290.7,83.67,96178.51,18.75,108.98, ,79.80000000000001
26,59.29,68.81,6.54,5.14,0.58,89.72,-3.08,-0.45,291.95,78.85,97800.13,18.75,109.12, ,80.3625
27,61.42,73.5,6.28,5.92,0.63,90.52,-4.36,0.22,292.03,78.25,97775.77,18.74,109.26, ,83.025
28,63.52,77.66,6.3,6.44,0.65,93.01,-5.78,1.82,290.92,83.22,96038.41,18.73,109.4, ,85.65
29,67.11,82.92,6.3,7.3,0.68,94.07,-5.45,1.15,289.6,90.29,94760.76,18.73,109.54, ,90.13749999999999
30,68.14,84.52,6.35,7.24,0.69,96.38,-4.63,-0.59,289.61,91.5,94950.88,18.72,109.68, ,91.425
31,68.69,85.21,6.11,6.33,0.68,95.22,-4.14,-1.59,289.89,92.43,95938.03,18.72,109.82, ,92.1125
32,66.82,82.55,5.82,4.87,0.65,94.04,-3.57,-1.81,290.89,90.68,97859.65,18.71,109.96, ,89.77499999999999
33,60.84,74.9,5.7,3.05,0.59,95.38,-3.79,-2.0,291.88,88.27,99329.09,18.7,110.1, ,82.30000000000001
34,53.84,66.56,5.37,1.57,0.53,95.98,-4.88,-1.69,292.93,85.51,100338.16,18.7,110.24, ,73.55000000000001
35,46.46,57.62,5.08,0.77,0.47,98.04,-5.78,-1.61,294.1,82.13,101314.15,18.69,110.38, ,64.325
36,54.32,59.61,7.83,3.96,0.47,80.21,-1.18,0.42,293.23,74.46,100519.16,18.89,108.71, ,74.15
37,55.45,60.38,7.36,3.86,0.48,81.05,-2.2,1.36,292.86,74.52,98991.52,18.89,108.85, ,75.5625
38,56.16,61.41,6.97,3.8,0.49,81.54,-3.22,1.42,291.85,76.81,97237.83,18.88,108.99, ,76.44999999999999
39,58.51,64.71,6.59,4.03,0.52,83.36,-3.27,0.6,290.14,82.95,94635.16,18.88,109.13, ,79.3875
40,60.08,68.31,6.48,4.39,0.56,88.11,-2.8,0.41,290.22,84.04,95171.88,18.87,109.27, ,81.35
41,60.77,70.99,6.44,4.73,0.59,90.64,-3.66,1.38,291.0,80.62,96029.02,18.87,109.41, ,82.2125
42,63.23,75.04,6.47,4.73,0.61,92.85,-4.7,1.61,289.48,87.19,93815.33,18.86,109.55, ,85.2875
43,66.56,79.44,6.35,4.93,0.63,92.43,-4.41,0.98,288.28,94.72,93132.14,18.86,109.69, ,89.45
44,67.51,81.49,6.01,4.73,0.63,88.76,-3.56,0.36,289.13,94.77,95184.73,18.85,109.83, ,90.6375
45,65.55,79.6,6.08,4.25,0.62,90.67,-3.25,-0.49,290.47,91.48,97331.23,18.84,109.97, ,88.1875
46,63.49,77.58,6.03,3.93,0.6,91.03,-3.67,-1.11,291.15,90.4,98407.8,18.84,110.11, ,85.61250000000001
47,60.65,74.99,5.91,3.6,0.58,91.22,-4.42,-1.24,291.93,88.5,99268.7,18.83,110.25, ,82.0625
48,51.89,64.85,5.44,2.0,0.52,92.58,-5.3,-1.25,293.36,83.96,100801.18,18.82,110.39, ,71.1125
49,56.2,61.63,9.08,5.08,0.47,79.95,-0.32,-0.17,293.06,73.84,101102.81,19.02,108.71, ,76.5
50,54.44,59.74,8.11,4.33,0.48,80.59,-0.98,0.84,293.77,70.49,100788.4,19.02,108.85, ,74.3
