,PM2.5(微克每立方米), PM10(微克每立方米), SO2(微克每立方米), NO2(微克每立方米), CO(毫克每立方米), O3(微克每立方米), U(m/s), V(m/s), TEMP(K), RH(%), PSFC(Pa), lat, lon, ,AQI
0,27.5,39.4,4.02,10.47,0.47,84.43,-3.0,-3.01,291.56,68.84,100662.12,18.34,109.25, ,39.4
1,30.23,45.49,4.1,14.93,0.53,87.44,-4.5,-4.41,291.83,68.29,100853.82,18.34,109.38, ,45.49
2,30.27,45.35,4.14,14.48,0.53,88.8,-4.95,-5.84,291.26,71.97,100733.09,18.33,109.52, ,45.35
3,27.49,40.97,3.87,11.63,0.49,88.79,-4.38,-5.97,290.95,76.11,100875.94,18.33,109.66, ,40.97
4,21.14,26.67,4.46,4.58,0.33,76.71,-3.16,-4.23,292.09,63.01,101939.39,18.49,108.83, ,30.2
5,23.35,29.65,4.38,5.51,0.36,81.73,-3.24,-3.76,291.44,68.43,101021.44,18.49,108.97, ,33.357142857142854
6,26.52,34.78,4.27,7.62,0.41,82.99,-2.8,-3.41,290.48,73.08,99741.5,18.48,109.11, ,37.885714285714286
7,29.55,40.54,4.15,11.04,0.46,83.03,-3.36,-3.52,290.48,72.8,99031.92,18.48,109.25, ,42.214285714285715
8,30.27,42.54,4.15,12.56,0.49,85.29,-4.73,-3.9,290.07,73.31,98125.94,18.47,109.39, ,43.24285714285715
9,30.61,42.99,4.22,12.92,0.49,85.14,-4.52,-5.19,289.44,77.8,98014.28,18.46,109.53, ,43.72857142857143
10,28.46,40.15,4.1,11.62,0.47,84.43,-3.47,-5.07,290.7,75.52,100372.11,18.46,109.67, ,40.65714285714286
11,24.14,34.2,3.82,8.37,0.42,85.6,-3.42,-5.98,291.41,74.31,101643.36,18.45,109.81, ,34.48571428571429
12,20.42,28.97,3.57,5.98,0.35,82.1,-3.77,-7.56,291.25,77.74,101842.06,18.45,109.95, ,29.171428571428574
13,22.63,28.06,4.47,4.43,0.33,76.73,-4.08,-3.46,290.48,67.71,98707.99,18.62,108.84, ,32.32857142857143
14,25.7,32.04,4.32,5.62,0.36,78.67,-3.94,-3.44,289.6,73.64,98464.85,18.62,108.98, ,36.714285714285715
15,26.28,33.22,4.35,6.47,0.38,80.86,-3.6,-3.63,290.24,73.47,99775.38,18.61,109.12, ,37.542857142857144
16,27.7,35.09,4.18,7.21,0.4,79.44,-4.16,-4.65,289.62,75.53,98623.5,18.61,109.26, ,39.57142857142857
17,27.81,35.34,4.19,7.66,0.4,83.13,-4.43,-3.5,288.0,80.25,95759.32,18.6,109.4, ,39.72857142857143
