,PM2.5(微克每立方米), PM10(微克每立方米), SO2(微克每立方米), NO2(微克每立方米), CO(毫克每立方米), O3(微克每立方米), U(m/s), V(m/s), TEMP(K), RH(%), PSFC(Pa), lat, lon, ,AQI
0,41.58,68.59,3.37,11.59,0.64,72.57,-5.18,0.75,293.43,86.25,100084.91,18.34,109.25, ,59.295
1,43.91,75.63,3.68,17.62,0.71,72.59,-4.67,-0.41,293.59,86.41,100288.16,18.34,109.38, ,62.815
2,44.11,75.34,3.77,17.51,0.71,74.69,-4.01,-1.56,293.39,87.8,100170.03,18.33,109.52, ,62.67
3,41.3,69.54,3.06,10.97,0.65,81.42,-3.51,-1.53,293.31,89.89,100304.64,18.33,109.66, ,59.77
4,35.66,50.6,2.85,4.1,0.46,75.31,-4.74,2.24,294.31,82.6,101324.17,18.49,108.83, ,50.824999999999996
5,37.85,56.71,3.16,6.27,0.52,75.57,-4.08,1.59,294.02,82.64,100419.82,18.49,108.97, ,53.5625
6,39.73,62.46,3.37,9.31,0.58,73.95,-4.31,2.07,293.44,83.55,99154.55,18.48,109.11, ,56.230000000000004
7,41.66,68.2,3.61,13.4,0.63,71.24,-5.07,1.89,293.14,84.14,98465.9,18.48,109.25, ,59.1
8,43.17,72.01,3.81,16.25,0.66,71.06,-5.13,0.21,292.48,87.39,97590.9,18.47,109.39, ,61.005
9,44.45,73.16,3.98,16.92,0.67,71.69,-3.82,-1.33,291.84,92.53,97480.7,18.46,109.53, ,61.8125
10,42.34,69.55,3.19,12.15,0.64,76.34,-2.49,-1.62,292.91,89.91,99799.86,18.46,109.67, ,59.775
11,38.06,61.31,2.45,5.68,0.57,82.83,-2.54,-1.03,293.74,87.54,101056.22,18.45,109.81, ,55.655
12,32.83,49.52,2.3,2.64,0.46,86.75,-3.43,-0.27,294.31,86.39,101255.41,18.45,109.95, ,49.760000000000005
13,37.9,52.81,2.86,4.21,0.46,73.04,-4.57,2.24,292.74,85.05,98132.74,18.62,108.84, ,53.625
14,40.39,59.02,2.99,5.99,0.51,73.05,-2.69,1.12,292.44,86.28,97893.8,18.62,108.98, ,56.7375
15,39.19,58.97,3.11,7.22,0.53,74.0,-2.36,1.42,293.61,80.36,99175.7,18.61,109.12, ,55.2375
16,39.21,60.09,3.11,8.31,0.55,72.39,-3.95,2.24,293.52,78.79,98043.23,18.61,109.26, ,55.2625
17,40.11,61.55,3.1,8.58,0.56,74.56,-4.72,1.61,291.47,86.54,95242.26,18.6,109.4, ,56.387499999999996
18,43.18,65.93,2.81,10.08,0.58,71.33,-3.61,0.51,290.61,94.52,95614.38,18.6,109.54, ,60.225
19,42.01,65.06,2.65,9.97,0.58,74.71,-2.46,-0.62,292.3,90.79,98595.43,18.59,109.67, ,58.762499999999996
20,39.08,60.69,2.53,7.33,0.55,79.04,-2.58,-0.74,293.17,88.15,99680.03,18.59,109.81, ,55.345
21,35.88,53.48,2.52,4.69,0.48,83.11,-3.03,-0.37,293.31,88.86,99908.32,18.58,109.95, ,51.739999999999995
22,31.42,44.43,2.37,2.34,0.41,85.78,-3.51,0.2,293.84,88.17,100542.24,18.57,110.09, ,47.215
23,35.64,44.69,2.95,2.49,0.39,75.39,-3.98,4.31,294.44,77.37,99828.15,18.76,108.7, ,50.8
24,38.71,49.09,3.12,2.94,0.42,74.71,-4.13,3.01,292.27,83.06,96178.71,18.75,108.84, ,54.6375
25,40.72,52.89,3.08,3.49,0.44,74.01,-2.91,1.97,291.62,87.61,96160.95,18.75,108.98, ,57.15
26,38.54,51.79,2.97,3.73,0.45,74.85,-1.96,0.85,292.7,82.52,97783.05,18.75,109.12, ,54.425
27,38.09,52.49,2.85,4.16,0.46,72.8,-2.42,1.37,292.95,80.81,97761.17,18.74,109.26, ,53.862500000000004
28,38.46,53.88,2.85,4.5,0.47,73.84,-3.79,2.46,291.96,84.38,96025.42,18.73,109.4, ,54.325
29,40.28,56.6,2.79,5.24,0.49,73.41,-3.8,2.32,290.47,91.4,94750.49,18.73,109.54, ,56.6
30,39.25,55.36,2.78,5.1,0.48,77.28,-2.55,1.24,290.56,92.63,94940.23,18.72,109.68, ,55.3125
31,39.52,55.38,2.61,4.87,0.48,76.6,-2.18,0.89,290.98,93.33,95918.27,18.72,109.82, ,55.650000000000006
32,37.22,51.6,2.53,3.69,0.45,78.19,-2.32,0.67,292.0,92.04,97827.79,18.71,109.96, ,52.775
33,33.67,45.91,2.48,2.32,0.41,82.02,-2.69,0.81,292.87,90.67,99292.55,18.7,110.1, ,48.3375
34,29.19,39.32,2.15,1.04,0.37,84.93,-3.24,0.91,293.77,88.36,100299.7,18.7,110.24, ,44.66
35,25.81,34.41,1.97,0.56,0.33,89.82,-3.48,0.85,294.63,86.69,101275.39,18.69,110.38, ,42.205
36,37.87,46.47,3.46,3.14,0.41,74.32,-1.18,2.05,294.55,75.65,100470.88,18.89,108.71, ,53.5875
37,38.43,47.55,3.35,3.01,0.42,75.1,-2.21,2.48,294.1,75.79,98943.17,18.89,108.85, ,54.2875
38,38.86,48.44,3.23,3.06,0.42,74.84,-3.14,2.79,292.95,78.85,97203.6,18.88,108.99, ,54.825
39,40.22,50.88,3.01,3.38,0.43,72.32,-2.57,1.96,291.2,84.61,94625.03,18.88,109.13, ,56.525
40,38.85,50.09,2.88,3.57,0.43,72.98,-1.36,1.7,291.32,85.35,95162.54,18.87,109.27, ,54.8125
41,37.06,48.75,2.84,3.78,0.43,74.24,-1.87,2.5,292.11,81.0,96016.13,18.87,109.41, ,52.575
42,37.09,49.16,2.82,3.98,0.43,74.93,-2.49,3.24,291.01,82.3,93806.95,18.86,109.55, ,52.612500000000004
43,38.44,50.8,2.75,4.06,0.44,75.4,-1.99,3.06,290.07,88.99,93120.29,18.86,109.69, ,54.3
44,38.9,51.55,2.56,3.98,0.44,72.73,-1.81,2.7,290.61,93.42,95158.0,18.85,109.83, ,54.875
45,37.13,49.44,2.59,3.57,0.43,74.63,-1.95,1.88,291.6,92.74,97297.02,18.84,109.97, ,52.6625
46,35.0,46.93,2.69,3.11,0.42,76.85,-2.4,1.63,292.35,92.06,98369.59,18.84,110.11, ,50.0
47,33.23,44.91,2.78,3.15,0.41,78.76,-2.9,1.61,292.89,91.68,99228.59,18.83,110.25, ,47.787499999999994
48,28.52,38.48,2.44,1.96,0.36,82.77,-3.17,1.4,294.03,88.38,100759.04,18.82,110.39, ,44.239999999999995
49,40.81,49.13,4.66,4.58,0.42,74.37,-0.06,-0.07,294.05,76.84,101059.4,19.02,108.71, ,57.2625
50,38.56,47.22,3.83,3.7,0.43,75.15,-0.65,0.77,294.74,72.78,100741.67,19.02,108.85, ,54.45
51,37.76,46.87,3.42,3.37,0.43,73.6,-2.13,2.66,294.31,71.36,98774.58,19.01,108.99, ,53.449999999999996
52,38.06,47.58,3.24,3.23,0.42,74.55,-2.21,2.84,292.13,76.31,94765.71,19.01,109.13, ,53.825
53,39.83,50.36,2.95,3.42,0.43,71.54,-1.07,3.02,290.81,83.37,93497.35,19.0,109.27, ,56.037499999999994
