,PM2.5(微克每立方米), PM10(微克每立方米), SO2(微克每立方米), NO2(微克每立方米), CO(毫克每立方米), O3(微克每立方米), U(m/s), V(m/s), TEMP(K), RH(%), PSFC(Pa), lat, lon, ,AQI
0,82.05,100.29,12.5,11.9,0.83,136.44,-3.67,-6.75,289.66,45.81,100835.76,18.34,109.25, ,108.8125
1,85.76,107.87,12.79,15.18,0.9,145.02,-4.43,-6.42,289.82,45.82,101029.92,18.34,109.38, ,113.45
2,85.99,108.54,12.93,16.36,0.9,148.32,-5.17,-7.53,289.4,47.81,100905.39,18.33,109.52, ,113.7375
3,84.13,105.17,12.64,15.79,0.88,151.68,-4.74,-7.57,289.28,50.77,101050.94,18.33,109.66, ,111.4125
4,65.66,74.78,12.23,5.84,0.64,103.91,-4.22,-6.46,290.45,45.32,102136.81,18.49,108.83, ,88.32499999999999
5,75.28,87.01,12.76,7.34,0.73,124.67,-4.7,-7.38,289.67,47.33,101194.71,18.49,108.97, ,100.35
6,79.42,94.41,12.87,9.18,0.78,133.43,-4.11,-7.59,288.59,49.73,99905.56,18.48,109.11, ,105.525
7,84.7,103.42,12.74,11.45,0.84,137.98,-3.86,-8.08,288.35,50.24,99187.8,18.48,109.25, ,112.125
8,86.25,106.95,13.0,13.23,0.87,143.95,-4.62,-7.44,287.93,50.21,98258.42,18.47,109.39, ,114.0625
9,86.67,107.8,13.08,14.48,0.88,144.66,-4.64,-7.75,287.5,52.7,98149.23,18.46,109.53, ,114.5875
10,84.76,105.14,13.05,14.71,0.87,145.7,-3.85,-6.86,288.92,50.53,100542.16,18.46,109.67, ,112.2
11,81.27,99.05,13.04,13.44,0.82,146.25,-3.73,-7.73,289.71,49.36,101828.3,18.45,109.81, ,107.83749999999999
12,73.66,87.02,12.43,10.71,0.73,129.41,-4.16,-9.21,289.71,51.9,102026.06,18.45,109.95, ,98.32499999999999
13,77.03,85.96,12.63,6.01,0.69,115.76,-5.05,-8.22,288.19,51.95,98855.05,18.62,108.84, ,102.5375
14,84.2,96.13,12.73,7.55,0.76,127.74,-4.7,-7.6,287.69,53.23,98614.36,18.62,108.98, ,111.5
15,83.34,97.31,13.0,8.49,0.78,133.37,-4.42,-6.6,288.45,51.14,99950.16,18.61,109.12, ,110.42500000000001
16,85.01,101.2,12.79,9.34,0.81,133.55,-5.05,-8.67,287.57,52.33,98776.21,18.61,109.26, ,112.5125
17,85.62,102.78,13.28,9.93,0.81,140.46,-4.64,-7.91,285.7,55.95,95871.47,18.6,109.4, ,113.275
18,86.3,104.64,13.14,11.03,0.82,139.19,-3.56,-8.15,285.91,55.9,96238.96,18.6,109.54, ,114.125
19,84.79,103.26,13.28,11.61,0.82,140.93,-3.68,-8.26,288.13,51.49,99281.8,18.59,109.67, ,112.23750000000001
20,84.69,102.91,13.32,11.87,0.82,140.98,-4.09,-9.22,288.79,52.01,100393.4,18.59,109.81, ,112.1125
21,80.99,96.61,13.33,10.73,0.77,134.33,-3.63,-9.39,288.73,53.81,100638.95,18.58,109.95, ,107.4875
22,71.82,83.79,12.68,8.87,0.67,114.68,-3.35,-10.11,288.94,54.75,101297.49,18.57,110.09, ,96.02499999999999
23,66.58,69.88,12.46,4.49,0.59,95.25,-5.06,-8.93,288.38,51.92,100673.55,18.76,108.7, ,89.475
24,78.65,82.96,12.75,4.86,0.64,110.42,-4.65,-7.93,286.09,58.52,96900.34,18.75,108.84, ,104.5625
25,83.21,89.41,12.87,5.49,0.68,117.07,-3.75,-7.32,286.17,56.82,96865.71,18.75,108.98, ,110.26249999999999
26,83.02,92.08,13.18,6.01,0.71,124.29,-4.59,-7.55,287.48,52.98,98507.16,18.75,109.12, ,110.02499999999999
27,84.43,96.47,13.0,6.76,0.74,125.64,-5.76,-8.93,287.15,54.58,98478.53,18.74,109.26, ,111.78750000000001
28,85.4,99.59,13.25,7.32,0.76,129.61,-5.25,-8.23,285.85,57.8,96702.32,18.73,109.4, ,113.0
29,85.49,100.86,13.45,7.86,0.76,131.81,-4.44,-8.84,285.02,59.1,95355.62,18.73,109.54, ,113.1125
30,84.76,100.46,13.76,8.05,0.76,134.18,-4.13,-9.78,285.14,59.35,95523.84,18.72,109.68, ,112.2
31,85.05,101.06,13.78,8.38,0.76,131.66,-3.46,-10.2,285.6,60.52,96545.64,18.72,109.82, ,112.5625
32,85.06,101.27,13.47,8.67,0.74,124.74,-2.66,-9.8,286.85,59.47,98525.95,18.71,109.96, ,112.575
33,79.41,93.67,13.42,8.21,0.69,115.84,-2.36,-9.44,288.01,57.66,100029.66,18.7,110.1, ,105.51249999999999
34,72.44,83.69,13.35,8.01,0.63,104.14,-2.43,-9.64,288.66,56.8,101059.82,18.7,110.24, ,96.8
35,57.61,66.36,11.86,5.94,0.53,95.97,-2.77,-11.3,290.11,59.47,102054.91,18.69,110.38, ,78.2625
36,67.93,69.45,12.65,4.86,0.58,92.19,-4.82,-7.51,288.64,52.96,101363.83,18.89,108.71, ,91.16250000000001
37,76.63,77.82,12.95,5.08,0.62,103.08,-4.21,-6.39,287.77,55.22,99803.46,18.89,108.85, ,102.0375
38,80.49,82.9,13.08,5.22,0.63,106.21,-4.85,-7.11,286.78,55.85,97978.1,18.88,108.99, ,106.8625
39,82.98,88.81,13.2,5.47,0.66,112.68,-5.87,-8.37,284.83,60.54,95261.02,18.88,109.13, ,109.97500000000001
40,84.35,93.65,13.34,5.95,0.69,118.02,-5.72,-9.37,285.0,60.84,95803.92,18.87,109.27, ,111.6875
41,85.02,97.22,13.49,6.54,0.71,121.13,-5.52,-8.9,285.56,59.8,96697.98,18.87,109.41, ,112.52499999999999
42,85.27,99.18,13.78,6.92,0.72,123.96,-5.31,-8.77,283.78,65.17,94420.27,18.86,109.55, ,112.83749999999999
43,85.8,101.45,13.76,7.47,0.73,122.15,-3.9,-8.85,283.09,68.65,93715.02,18.86,109.69, ,113.5
44,86.27,103.73,13.71,8.34,0.73,117.64,-2.29,-8.67,284.54,65.9,95821.28,18.85,109.83, ,114.08749999999999
45,85.22,103.5,13.77,8.73,0.72,113.82,-1.78,-8.79,286.19,61.73,98016.63,18.84,109.97, ,112.77499999999999
46,82.38,100.27,13.81,8.69,0.69,109.29,-1.84,-8.74,287.02,60.35,99111.13,18.84,110.11, ,109.225
47,79.81,96.35,14.11,9.53,0.66,102.16,-1.72,-8.6,287.7,60.12,99985.93,18.83,110.25, ,106.0125
48,66.07,78.71,13.19,7.94,0.58,92.35,-1.91,-9.42,288.94,57.61,101550.66,18.82,110.39, ,88.83749999999999
49,65.35,66.36,12.95,5.09,0.57,85.29,-4.8,-7.1,289.06,51.01,101976.59,19.02,108.71, ,87.9375
50,72.01,71.88,13.42,5.34,0.59,94.45,-4.38,-5.93,289.07,51.7,101655.65,19.02,108.85, ,96.2625
51,76.43,77.52,13.3,5.5,0.61,95.79,-5.67,-6.87,287.68,54.14,99619.68,19.01,108.99, ,101.78750000000001
52,80.21,84.13,13.68,5.5,0.63,104.18,-6.59,-7.36,284.61,62.46,95450.67,19.01,109.13, ,106.51249999999999
53,83.22,90.89,13.35,6.2,0.66,105.35,-6.0,-8.15,283.23,68.59,94129.34,19.0,109.27, ,110.275
54,85.04,96.92,13.58,6.8,0.68,109.39,-5.16,-7.63,284.04,66.53,95287.03,19.0,109.41, ,112.55000000000001
55,86.69,102.42,13.57,7.57,0.71,109.45,-4.47,-6.96,283.88,67.86,95267.31,18.99,109.55, ,114.6125
56,88.07,107.22,13.55,8.46,0.72,107.96,-3.11,-6.78,283.88,68.09,95403.78,18.99,109.69, ,116.33749999999999
57,86.84,107.82,14.24,9.32,0.73,109.98,-1.8,-6.89,284.86,65.07,96625.43,18.98,109.83, ,114.80000000000001
58,86.44,109.9,14.15,9.99,0.73,105.03,-1.43,-7.37,285.8,63.06,97850.57,18.98,109.97, ,114.3
59,83.19,107.51,14.15,10.1,0.71,101.51,-1.37,-7.53,286.89,60.64,99250.07,18.97,110.11, ,110.2375
60,80.42,104.78,14.57,10.83,0.69,97.71,-1.28,-7.31,287.88,58.71,100513.01,18.96,110.25, ,106.775
61,70.14,91.86,13.95,9.05,0.62,91.69,-1.65,-7.88,289.04,57.09,101632.81,18.96,110.39, ,93.925
62,62.99,65.1,12.98,4.95,0.56,80.43,-5.53,-7.29,289.16,51.24,102053.27,19.16,108.72, ,84.9875
63,68.7,69.95,13.55,5.44,0.58,86.15,-4.69,-6.17,288.95,51.63,101656.11,19.15,108.86, ,92.125
64,72.79,75.09,13.78,5.78,0.6,88.81,-5.84,-6.01,287.78,54.51,100043.43,19.15,109.0, ,97.23750000000001
65,77.64,82.23,13.55,6.18,0.62,90.68,-6.73,-6.09,285.37,61.86,97055.38,19.14,109.14, ,103.3
66,80.31,87.96,13.97,6.63,0.64,96.71,-5.3,-5.53,284.4,65.43,95941.34,19.14,109.28, ,106.6375
67,83.65,96.83,14.07,7.49,0.67,99.5,-3.81,-5.24,284.94,64.75,96935.57,19.13,109.42, ,110.8125
68,86.01,104.97,14.22,8.27,0.69,101.65,-3.36,-5.11,285.25,63.9,97373.87,19.13,109.56, ,113.7625
