,PM2.5(微克每立方米), PM10(微克每立方米), SO2(微克每立方米), NO2(微克每立方米), CO(毫克每立方米), O3(微克每立方米), U(m/s), V(m/s), TEMP(K), RH(%), PSFC(Pa), lat, lon, ,AQI
0,44.28,57.89,6.5,9.61,0.6,90.69,-4.29,-5.5,291.54,64.22,100758.56,18.34,109.25, ,61.6
1,46.3,62.68,6.57,11.95,0.64,94.42,-5.0,-6.02,291.7,65.09,100953.23,18.34,109.38, ,64.125
2,47.6,64.6,6.71,12.64,0.65,96.01,-5.06,-7.0,291.11,68.85,100836.15,18.33,109.52, ,65.75
3,46.49,62.1,6.55,11.32,0.62,96.85,-4.51,-6.88,290.75,72.93,100982.3,18.33,109.66, ,64.3625
4,39.38,46.0,6.82,4.53,0.48,83.66,-4.9,-6.32,291.68,60.76,102050.69,18.49,108.83, ,55.475
5,42.55,50.19,6.94,5.55,0.52,90.01,-4.38,-6.39,291.03,65.5,101129.12,18.49,108.97, ,59.4375
6,44.72,54.62,6.92,7.24,0.56,91.93,-4.02,-6.17,290.26,68.72,99845.45,18.48,109.11, ,62.15
7,47.39,60.13,6.84,9.29,0.6,91.74,-4.5,-6.46,290.25,69.08,99132.62,18.48,109.25, ,65.4875
8,48.43,62.72,6.87,10.64,0.62,94.33,-5.05,-6.06,289.79,70.47,98222.98,18.47,109.39, ,66.7875
9,49.67,64.35,6.98,11.45,0.62,94.11,-4.4,-6.81,289.21,74.69,98113.41,18.46,109.53, ,68.3375
10,47.58,61.22,6.96,10.96,0.61,94.08,-3.52,-6.31,290.49,72.2,100478.12,18.46,109.67, ,65.725
11,44.59,56.2,6.86,9.04,0.58,96.25,-3.56,-6.95,291.17,71.24,101754.86,18.45,109.81, ,61.987500000000004
12,41.24,50.84,6.53,6.82,0.51,93.45,-3.94,-8.36,291.04,74.57,101956.44,18.45,109.95, ,57.800000000000004
13,45.33,51.86,7.22,4.77,0.5,86.18,-5.52,-6.07,289.61,67.89,98820.35,18.62,108.84, ,62.9125
14,48.16,56.06,7.14,5.91,0.54,88.79,-4.52,-6.01,288.97,72.17,98577.23,18.62,108.98, ,66.44999999999999
15,47.07,55.56,7.24,6.58,0.55,91.98,-4.47,-5.59,289.91,70.18,99890.72,18.61,109.12, ,65.0875
16,48.88,58.69,7.1,7.34,0.57,90.42,-5.13,-7.12,289.26,72.57,98733.41,18.61,109.26, ,67.35000000000001
17,49.88,60.08,7.24,7.76,0.57,94.7,-4.71,-5.69,287.55,78.17,95860.59,18.6,109.4, ,68.6
18,50.78,61.78,7.13,8.54,0.57,93.01,-3.68,-6.44,287.63,79.18,96223.39,18.6,109.54, ,69.725
19,48.41,59.31,7.2,8.66,0.57,94.63,-3.55,-7.12,289.82,72.85,99242.0,18.59,109.67, ,66.76249999999999
20,47.84,58.64,7.2,8.45,0.56,95.07,-3.72,-7.99,290.28,73.77,100347.3,18.59,109.81, ,66.05000000000001
21,45.63,55.03,7.19,7.28,0.53,95.31,-3.15,-8.15,290.05,76.95,100589.54,18.58,109.95, ,63.2875
22,41.37,50.45,6.76,5.85,0.47,92.91,-2.98,-8.75,290.25,78.93,101242.46,18.57,110.09, ,57.9625
23,43.96,48.28,7.86,3.65,0.47,81.6,-5.16,-6.57,289.93,66.17,100612.26,18.76,108.7, ,61.2
24,48.25,52.67,7.66,3.76,0.48,85.44,-5.03,-4.86,287.66,75.12,96870.62,18.75,108.84, ,66.5625
25,49.07,53.97,7.59,4.04,0.49,87.84,-4.58,-5.05,287.59,75.77,96831.02,18.75,108.98, ,67.5875
26,47.85,53.05,7.67,4.25,0.5,91.36,-5.08,-6.14,288.95,72.27,98467.93,18.75,109.12, ,66.0625
27,49.86,56.22,7.53,4.74,0.51,89.11,-5.39,-7.29,288.57,75.83,98452.55,18.74,109.26, ,68.575
28,50.88,58.1,7.58,5.08,0.52,91.04,-4.89,-5.89,287.52,79.58,96686.91,18.73,109.4, ,69.85000000000001
29,51.42,58.93,7.63,5.42,0.52,92.84,-4.36,-6.33,286.74,82.55,95356.77,18.73,109.54, ,70.525
30,50.73,58.11,7.72,5.53,0.51,95.17,-3.76,-7.16,286.82,83.59,95531.85,18.72,109.68, ,69.6625
31,50.59,58.34,7.69,5.65,0.51,94.66,-2.93,-7.84,287.05,85.67,96538.12,18.72,109.82, ,69.48750000000001
32,49.52,58.34,7.49,5.8,0.5,92.54,-2.18,-7.86,288.11,84.35,98496.11,18.71,109.96, ,68.15
33,45.58,54.57,7.37,5.57,0.48,94.25,-1.88,-7.73,289.27,82.16,99986.21,18.7,110.1, ,63.224999999999994
34,40.94,50.4,6.88,5.24,0.45,97.31,-2.45,-7.92,290.07,81.93,101008.68,18.7,110.24, ,57.425
35,33.91,43.92,5.81,3.67,0.4,102.56,-4.18,-9.77,291.52,80.47,101993.13,18.69,110.38, ,48.637499999999996
36,46.72,51.22,8.44,4.07,0.48,82.76,-4.47,-6.47,289.74,69.17,101294.43,18.89,108.71, ,64.65
37,48.35,52.91,8.25,4.02,0.49,86.96,-4.29,-4.64,289.2,70.55,99739.5,18.89,108.85, ,66.6875
38,49.89,55.11,8.14,4.12,0.49,88.49,-5.85,-4.88,288.41,72.36,97927.52,18.88,108.99, ,68.6125
39,52.43,58.05,8.06,4.33,0.49,89.27,-6.37,-6.02,286.41,81.07,95254.52,18.88,109.13, ,71.7875
40,53.28,59.73,8.08,4.68,0.5,90.14,-5.06,-6.97,286.39,84.09,95805.8,18.87,109.27, ,72.85
41,53.04,60.24,8.09,5.09,0.5,90.7,-4.73,-6.31,287.04,82.44,96688.83,18.87,109.41, ,72.55
