,PM2.5(微克每立方米), PM10(微克每立方米), SO2(微克每立方米), NO2(微克每立方米), CO(毫克每立方米), O3(微克每立方米), U(m/s), V(m/s), TEMP(K), RH(%), PSFC(Pa), lat, lon, ,AQI
0,46.88,70.85,6.39,8.94,0.51,104.12,-6.24,-3.83,290.53,62.01,100826.97,18.34,109.25, ,64.85
1,48.07,77.16,6.47,11.43,0.55,111.36,-6.86,-4.96,290.59,63.19,101019.49,18.34,109.38, ,66.3375
2,47.92,77.66,6.41,11.28,0.55,114.01,-6.9,-6.33,290.22,65.65,100892.31,18.33,109.52, ,66.15
3,46.81,74.42,5.94,8.62,0.53,114.88,-6.36,-6.78,290.22,68.31,101034.62,18.33,109.66, ,64.7625
4,39.43,50.26,6.83,4.02,0.41,87.13,-4.28,-3.15,291.12,59.55,102122.88,18.49,108.83, ,55.5375
5,44.01,58.14,6.84,4.77,0.44,96.13,-4.49,-4.41,290.78,61.5,101188.14,18.49,108.97, ,61.262499999999996
6,46.41,65.01,6.74,6.5,0.47,100.68,-4.86,-4.2,289.92,64.01,99897.16,18.48,109.11, ,64.26249999999999
7,48.31,71.12,6.56,8.3,0.51,103.72,-6.11,-4.13,289.6,65.04,99182.46,18.48,109.25, ,66.6375
8,48.93,74.47,6.55,9.28,0.52,108.36,-7.55,-4.8,288.85,67.82,98264.35,18.47,109.39, ,67.4125
9,49.11,75.14,6.51,9.7,0.53,108.61,-7.12,-5.92,288.37,71.3,98154.11,18.46,109.53, ,67.6375
10,47.78,72.32,6.27,8.66,0.52,107.79,-5.52,-5.68,289.85,67.62,100534.12,18.46,109.67, ,65.975
11,45.33,66.26,5.85,6.07,0.5,108.5,-5.15,-6.4,290.75,65.59,101812.32,18.45,109.81, ,62.9125
12,40.41,55.84,5.2,3.93,0.45,102.36,-6.0,-7.89,291.07,67.41,102008.46,18.45,109.95, ,56.762499999999996
13,44.65,53.88,7.05,3.83,0.43,90.1,-6.49,-3.71,289.26,64.4,98860.66,18.62,108.84, ,62.0625
14,48.67,61.23,6.95,4.59,0.45,95.61,-5.8,-4.53,288.7,67.53,98616.84,18.62,108.98, ,67.0875
15,48.17,63.24,6.94,5.14,0.47,99.66,-5.06,-4.36,289.69,64.76,99932.45,18.61,109.12, ,66.4625
16,48.65,66.06,6.66,5.57,0.48,99.57,-6.19,-5.18,289.04,66.19,98764.75,18.61,109.26, ,67.0625
17,49.25,67.67,6.64,5.68,0.49,104.38,-7.16,-4.43,286.99,72.98,95881.27,18.6,109.4, ,67.8125
18,49.51,68.83,6.41,6.33,0.49,102.59,-6.64,-5.17,286.96,74.71,96258.12,18.6,109.54, ,68.1375
19,47.84,66.68,6.29,6.27,0.49,103.08,-5.85,-5.97,289.15,68.65,99297.62,18.59,109.67, ,66.05000000000001
20,47.15,65.25,6.08,5.84,0.49,102.5,-5.54,-6.9,289.83,68.09,100404.23,18.59,109.81, ,65.1875
21,44.39,59.0,5.76,4.64,0.47,100.9,-5.14,-7.17,289.88,69.39,100642.51,18.58,109.95, ,61.7375
22,38.74,50.18,5.1,3.09,0.43,97.04,-5.63,-8.05,290.54,69.42,101289.77,18.57,110.09, ,54.675000000000004
23,41.21,44.61,7.78,3.44,0.41,79.05,-5.24,-5.29,289.92,62.69,100643.56,18.76,108.7, ,57.7625
24,46.55,49.92,7.4,3.26,0.42,85.39,-6.16,-3.78,287.6,70.46,96894.86,18.75,108.84, ,64.4375
25,48.52,52.94,7.19,3.28,0.43,89.04,-5.97,-3.35,287.33,71.24,96863.9,18.75,108.98, ,66.9
26,47.65,54.51,7.16,3.27,0.44,93.68,-6.26,-4.68,288.58,67.65,98504.85,18.75,109.12, ,65.8125
27,48.58,58.28,6.89,3.52,0.45,93.0,-6.66,-5.98,288.47,68.85,98478.72,18.74,109.26, ,66.975
28,49.08,60.38,6.78,3.64,0.45,95.41,-6.74,-4.69,287.31,72.52,96707.05,18.73,109.4, ,67.6
29,49.15,61.05,6.65,3.79,0.46,96.83,-6.81,-4.95,286.32,76.08,95381.42,18.73,109.54, ,67.6875
30,48.31,59.81,6.56,3.7,0.45,98.37,-6.31,-6.3,286.3,77.59,95564.54,18.72,109.68, ,66.6375
31,48.1,59.16,6.32,3.84,0.46,95.57,-5.24,-7.13,286.72,78.24,96577.93,18.72,109.82, ,66.375
32,47.07,57.72,5.93,3.97,0.46,91.82,-4.37,-6.95,288.0,75.42,98541.55,18.71,109.96, ,65.0875
33,42.62,52.11,5.56,3.31,0.44,92.85,-4.32,-6.82,289.32,72.38,100034.66,18.7,110.1, ,59.525
34,37.81,46.95,5.06,2.34,0.42,95.55,-5.43,-7.34,290.6,69.79,101054.32,18.7,110.24, ,53.5125
35,32.54,41.33,4.41,1.46,0.39,98.99,-7.16,-8.64,292.15,68.0,102037.05,18.69,110.38, ,46.925
36,43.09,45.94,8.51,4.01,0.43,78.44,-4.92,-5.45,289.94,64.34,101319.48,18.89,108.71, ,60.112500000000004
37,45.97,47.93,7.98,3.57,0.43,83.54,-4.82,-3.83,289.21,66.45,99768.86,18.89,108.85, ,63.7125
38,47.51,49.68,7.65,3.29,0.43,86.05,-6.52,-3.35,288.2,68.39,97955.95,18.88,108.99, ,65.6375
39,49.31,53.41,7.44,3.26,0.44,88.78,-8.16,-4.54,286.08,76.11,95270.11,18.88,109.13, ,67.8875
40,49.64,55.73,7.28,3.38,0.45,90.98,-7.12,-6.04,286.25,76.67,95824.87,18.87,109.27, ,68.3
41,49.66,57.3,7.14,3.64,0.45,91.93,-6.5,-5.67,286.96,74.38,96707.8,18.87,109.41, ,68.32499999999999
42,49.86,58.19,7.04,3.67,0.46,94.08,-6.96,-5.27,285.27,80.68,94437.78,18.86,109.55, ,68.575
