,PM2.5(微克每立方米), PM10(微克每立方米), SO2(微克每立方米), NO2(微克每立方米), CO(毫克每立方米), O3(微克每立方米), U(m/s), V(m/s), TEMP(K), RH(%), PSFC(Pa), lat, lon, ,AQI
0,42.59,57.75,7.85,8.32,0.77,68.62,-5.39,-4.0,292.73,71.56,100505.52,18.34,109.25, ,59.487500000000004
1,43.42,58.94,6.39,9.29,0.8,71.08,-6.85,-5.56,292.41,72.97,100701.41,18.34,109.38, ,60.525000000000006
2,46.04,62.01,6.12,9.77,0.82,71.88,-7.06,-7.21,291.77,76.11,100592.38,18.33,109.52, ,63.8
3,48.46,65.45,7.33,9.66,0.83,71.93,-6.13,-7.25,291.49,79.16,100753.08,18.33,109.66, ,66.825
4,46.44,57.98,11.82,5.97,0.66,64.87,-5.09,-3.71,293.55,68.53,101770.69,18.49,108.83, ,64.3
5,44.33,57.65,11.44,6.7,0.71,68.44,-5.15,-5.22,292.65,72.14,100856.88,18.49,108.97, ,61.662499999999994
6,45.48,59.6,10.18,7.7,0.76,68.28,-4.52,-5.28,291.84,74.99,99584.99,18.48,109.11, ,63.099999999999994
7,47.16,62.17,8.8,8.66,0.8,67.42,-5.39,-5.35,291.67,74.89,98877.71,18.48,109.25, ,65.2
8,48.25,63.34,7.9,9.19,0.81,68.85,-6.89,-5.56,290.76,77.8,97978.13,18.47,109.39, ,66.5625
9,50.76,66.15,7.9,9.69,0.83,68.14,-6.37,-6.69,289.87,82.74,97891.09,18.46,109.53, ,69.7
10,49.79,65.61,8.75,9.89,0.84,67.52,-4.82,-6.05,291.14,79.03,100260.38,18.46,109.67, ,68.4875
11,49.45,65.27,10.11,9.47,0.84,67.94,-4.54,-7.06,291.91,76.53,101532.96,18.45,109.81, ,68.0625
12,53.5,70.31,11.76,8.84,0.8,64.43,-5.06,-8.7,291.89,78.92,101731.48,18.45,109.95, ,73.125
13,50.57,63.88,12.05,6.5,0.71,64.91,-5.97,-4.5,291.52,74.62,98547.92,18.62,108.84, ,69.4625
14,48.71,62.88,11.41,7.1,0.75,66.45,-5.85,-5.25,290.55,78.81,98317.1,18.62,108.98, ,67.1375
15,48.14,61.93,11.2,7.73,0.78,66.95,-5.51,-5.6,291.22,76.72,99625.82,18.61,109.12, ,66.425
16,51.08,65.51,10.63,8.32,0.81,64.6,-6.26,-7.04,290.65,78.14,98474.12,18.61,109.26, ,70.1
17,52.79,66.8,10.51,8.62,0.82,66.33,-6.13,-5.13,288.89,84.09,95632.99,18.6,109.4, ,72.2375
18,54.56,69.27,10.31,9.16,0.84,63.94,-5.03,-5.98,288.49,86.75,96015.98,18.6,109.54, ,74.45
19,52.94,67.77,10.65,9.47,0.85,63.96,-4.66,-6.89,290.43,80.1,99027.13,18.59,109.67, ,72.425
20,53.51,68.88,11.19,9.63,0.86,63.21,-4.78,-8.06,290.87,79.87,100129.97,18.59,109.81, ,73.13749999999999
21,54.42,69.7,12.38,9.51,0.86,61.9,-4.19,-8.38,290.75,81.89,100373.04,18.58,109.95, ,74.275
22,57.88,73.64,13.05,9.12,0.82,58.71,-4.06,-9.27,291.05,82.89,101023.59,18.57,110.09, ,78.6
23,58.89,71.54,13.83,6.74,0.72,59.86,-5.44,-5.97,292.02,73.89,100307.92,18.76,108.7, ,79.86250000000001
24,55.58,70.07,13.18,6.97,0.74,61.83,-5.53,-3.98,289.77,81.59,96611.95,18.75,108.84, ,75.725
25,53.51,67.62,12.97,7.19,0.76,62.64,-5.6,-3.91,289.33,82.47,96582.91,18.75,108.98, ,73.13749999999999
26,52.52,65.91,13.12,7.47,0.78,63.44,-6.53,-6.03,290.09,79.58,98211.9,18.75,109.12, ,71.9
