,PM2.5(微克每立方米), PM10(微克每立方米), SO2(微克每立方米), NO2(微克每立方米), CO(毫克每立方米), O3(微克每立方米), U(m/s), V(m/s), TEMP(K), RH(%), PSFC(Pa), lat, lon, ,AQI
0,28.12,35.15,2.43,6.27,0.72,83.23,-3.35,-1.24,292.44,73.05,100435.24,18.34,109.25, ,40.17142857142858
1,32.58,42.53,2.76,10.93,0.87,85.12,-4.06,-2.27,292.56,73.78,100633.1,18.34,109.38, ,46.542857142857144
2,30.88,40.21,2.89,10.87,0.84,86.02,-4.01,-3.38,292.04,77.08,100510.84,18.33,109.52, ,44.114285714285714
3,27.64,35.22,2.39,7.54,0.74,86.31,-3.9,-3.62,291.65,81.52,100645.32,18.33,109.66, ,39.48571428571429
4,24.72,27.45,2.09,3.31,0.51,78.6,-0.3,-2.08,292.7,72.87,101715.62,18.49,108.83, ,35.31428571428572
5,27.66,31.21,2.2,4.14,0.63,80.55,-0.5,-1.76,292.21,73.34,100794.41,18.49,108.97, ,39.51428571428571
6,29.49,34.71,2.28,5.21,0.71,82.13,-1.07,-1.05,291.63,74.39,99511.84,18.48,109.11, ,42.128571428571426
7,31.68,38.51,2.45,7.54,0.8,81.67,-2.73,-0.84,291.82,72.7,98806.66,18.48,109.25, ,45.25714285714286
8,32.36,40.36,2.65,10.22,0.86,82.06,-4.08,-1.79,291.23,75.05,97914.56,18.47,109.39, ,46.22857142857143
9,31.29,38.9,2.83,10.81,0.84,82.24,-3.6,-2.99,290.48,80.51,97798.41,18.46,109.53, ,44.7
10,28.85,35.53,2.39,8.16,0.77,81.46,-2.82,-2.98,291.6,78.72,100136.67,18.46,109.67, ,41.214285714285715
11,24.94,30.58,1.96,5.17,0.64,81.71,-3.24,-3.23,292.25,78.48,101402.81,18.45,109.81, ,35.62857142857143
12,20.44,25.16,1.89,3.57,0.49,81.62,-3.87,-4.22,292.25,81.75,101603.81,18.45,109.95, ,29.200000000000003
13,26.45,28.98,2.14,3.47,0.52,79.92,-0.56,-1.39,291.18,76.41,98493.78,18.62,108.84, ,37.785714285714285
14,29.26,31.84,2.11,4.16,0.62,79.96,-0.59,-1.64,290.96,74.71,98235.04,18.62,108.98, ,41.800000000000004
15,29.42,32.42,2.11,4.55,0.64,80.94,-0.72,-1.37,291.72,72.44,99530.89,18.61,109.12, ,42.02857142857143
16,28.5,31.49,2.04,4.85,0.65,79.52,-2.26,-0.69,291.56,71.14,98389.65,18.61,109.26, ,40.714285714285715
17,26.82,29.75,2.07,5.55,0.64,80.58,-3.73,-0.44,289.91,76.07,95550.39,18.6,109.4, ,38.31428571428572
