,PM2.5(微克每立方米), PM10(微克每立方米), SO2(微克每立方米), NO2(微克每立方米), CO(毫克每立方米), O3(微克每立方米), U(m/s), V(m/s), TEMP(K), RH(%), PSFC(Pa), lat, lon, ,AQI
0,31.08,46.57,5.82,6.08,0.69,75.66,-6.98,-3.25,293.42,70.74,100575.16,18.34,109.25, ,46.57
1,31.09,47.69,5.34,7.17,0.73,79.0,-7.46,-4.58,293.25,73.06,100776.55,18.34,109.38, ,47.69
2,32.01,49.24,5.14,7.16,0.74,79.58,-6.89,-5.79,292.68,77.14,100666.38,18.33,109.52, ,49.24
3,32.24,49.72,5.06,5.99,0.7,79.49,-6.19,-5.9,292.43,80.97,100814.7,18.33,109.66, ,49.72
4,38.41,49.82,7.72,4.28,0.59,70.03,-3.9,-2.88,294.2,68.48,101843.31,18.49,108.83, ,54.871428571428574
5,34.5,47.29,7.29,4.7,0.61,71.91,-3.98,-3.34,293.66,70.24,100929.74,18.49,108.97, ,49.28571428571429
6,33.83,47.91,6.7,5.57,0.65,72.71,-4.89,-3.17,292.86,71.77,99657.3,18.48,109.11, ,48.32857142857143
7,33.62,48.84,6.09,6.3,0.69,73.72,-6.8,-3.22,292.48,73.09,98953.33,18.48,109.25, ,48.84
8,33.56,49.24,5.74,6.62,0.71,75.97,-7.87,-4.12,291.59,77.32,98062.31,18.47,109.39, ,49.24
9,34.66,50.82,5.68,6.91,0.72,74.92,-6.6,-5.09,290.83,83.13,97966.56,18.46,109.53, ,50.82
10,33.33,49.66,5.66,6.44,0.7,73.97,-4.98,-4.75,292.16,80.21,100317.22,18.46,109.67, ,49.66
11,31.46,47.23,5.57,4.99,0.65,75.15,-4.96,-5.56,292.95,78.73,101584.66,18.45,109.81, ,47.23
12,31.79,47.63,5.39,4.14,0.57,72.35,-5.8,-7.05,292.9,81.83,101785.57,18.45,109.95, ,47.63
13,39.39,51.7,7.69,4.36,0.59,70.89,-4.94,-2.44,292.28,73.45,98636.12,18.62,108.84, ,56.27142857142857
14,36.76,50.07,7.19,4.62,0.62,70.63,-4.58,-3.11,291.66,76.5,98396.29,18.62,108.98, ,52.51428571428571
15,35.54,49.34,7.02,5.02,0.65,70.89,-4.72,-3.23,292.61,72.91,99690.94,18.61,109.12, ,50.771428571428565
16,35.84,50.18,6.59,5.21,0.66,70.0,-6.43,-3.67,292.03,73.97,98542.62,18.61,109.26, ,51.2
17,35.95,50.14,6.46,5.2,0.66,72.9,-7.29,-2.85,289.93,81.9,95710.55,18.6,109.4, ,51.357142857142854
18,36.84,51.87,6.22,5.68,0.67,70.39,-6.24,-3.87,289.6,86.01,96090.96,18.6,109.54, ,52.62857142857143
19,34.92,50.26,6.17,5.7,0.66,70.49,-5.28,-5.02,291.63,80.11,99094.27,18.59,109.67, ,50.26
20,34.25,49.96,6.08,5.34,0.64,70.38,-5.02,-6.04,292.13,80.75,100192.9,18.59,109.81, ,49.96
21,33.46,49.05,6.0,4.81,0.6,70.16,-4.71,-6.35,291.9,84.27,100432.53,18.58,109.95, ,49.05
22,32.77,48.51,5.43,3.98,0.53,69.04,-5.13,-7.05,292.25,85.69,101077.85,18.57,110.09, ,48.51
23,43.65,54.62,8.52,4.57,0.56,65.66,-3.63,-1.37,293.31,70.21,100373.43,18.76,108.7, ,62.357142857142854
24,40.06,52.38,7.88,4.18,0.57,67.28,-5.14,-0.56,290.93,77.91,96685.48,18.75,108.84, ,57.22857142857143
25,38.62,51.44,7.64,4.23,0.58,67.33,-5.54,-1.55,290.46,79.79,96657.51,18.75,108.98, ,55.17142857142857
26,37.5,50.47,7.61,4.34,0.59,67.95,-5.75,-3.57,291.56,76.32,98285.07,18.75,109.12, ,53.57142857142857
27,38.58,52.34,7.3,4.63,0.61,65.33,-6.13,-4.39,291.34,78.0,98266.95,18.74,109.26, ,55.114285714285714
28,38.23,52.14,7.16,4.73,0.62,66.24,-6.62,-2.74,290.31,80.89,96519.15,18.73,109.4, ,54.614285714285714
29,38.15,52.05,7.05,4.84,0.61,66.67,-6.68,-3.34,289.25,85.55,95218.5,18.73,109.54, ,54.49999999999999
30,37.95,51.84,7.02,4.86,0.61,67.12,-5.76,-4.9,289.05,88.69,95408.59,18.72,109.68, ,54.214285714285715
31,38.39,53.13,6.85,4.97,0.6,65.26,-4.54,-5.76,289.13,92.24,96411.31,18.72,109.82, ,54.84285714285715
32,37.05,53.23,6.48,5.02,0.59,63.48,-3.79,-5.79,290.09,91.65,98352.52,18.71,109.96, ,53.23
33,34.12,50.21,6.03,4.55,0.55,65.24,-3.74,-5.8,291.16,89.44,99832.05,18.7,110.1, ,50.21
34,31.26,47.25,5.2,3.75,0.51,67.98,-4.79,-6.26,292.01,88.48,100846.49,18.7,110.24, ,47.25
35,30.2,45.63,4.37,2.76,0.45,72.24,-6.6,-7.65,293.15,86.8,101826.27,18.69,110.38, ,45.63
36,42.64,54.18,8.77,4.77,0.57,63.62,-3.75,-2.03,293.35,70.52,101025.15,18.89,108.71, ,60.91428571428571
37,38.87,51.81,8.22,4.4,0.58,65.51,-4.8,-0.66,292.72,71.37,99494.27,18.89,108.85, ,55.528571428571425
38,39.12,52.21,7.95,4.33,0.58,65.28,-7.13,-0.95,291.56,74.65,97719.82,18.88,108.99, ,55.885714285714286
39,41.07,54.5,7.77,4.48,0.6,64.23,-7.71,-2.96,289.17,84.9,95100.44,18.88,109.13, ,58.67142857142858
40,41.67,55.69,7.71,4.75,0.61,64.09,-6.13,-4.32,289.07,87.5,95652.62,18.87,109.27, ,59.52857142857143
41,40.68,55.09,7.62,5.03,0.62,63.53,-6.02,-3.71,289.89,83.93,96519.86,18.87,109.41, ,58.11428571428572
42,41.47,55.63,7.58,5.09,0.62,64.11,-6.45,-3.16,288.25,90.68,94286.23,18.86,109.55, ,59.24285714285714
43,44.35,59.0,7.38,5.73,0.63,60.45,-5.23,-3.25,287.29,97.02,93601.27,18.86,109.69, ,63.357142857142854
44,42.31,58.11,7.05,5.68,0.62,59.03,-3.71,-3.77,288.26,96.58,95672.75,18.85,109.83, ,60.44285714285714
45,38.51,54.89,6.78,5.43,0.6,60.63,-3.32,-4.52,289.52,93.91,97834.72,18.84,109.97, ,55.01428571428571
46,35.77,52.37,6.39,5.27,0.58,62.3,-3.46,-4.97,290.2,93.46,98916.35,18.84,110.11, ,52.37
47,32.71,49.48,5.77,4.94,0.54,64.44,-3.96,-5.19,290.89,93.03,99781.5,18.83,110.25, ,49.48
48,30.16,45.9,4.91,3.58,0.48,67.9,-5.57,-6.29,292.33,88.78,101322.02,18.82,110.39, ,45.9
49,44.47,56.49,9.67,5.54,0.58,62.47,-4.48,-2.81,293.48,70.78,101616.66,19.02,108.71, ,63.528571428571425
50,39.85,53.18,9.14,5.04,0.59,64.9,-5.01,-1.83,293.61,69.65,101303.88,19.02,108.85, ,56.92857142857143
51,40.56,54.02,8.6,4.83,0.6,63.31,-7.16,-1.42,292.37,72.74,99316.8,19.01,108.99, ,57.94285714285715
52,42.9,56.42,8.41,4.71,0.6,64.1,-8.04,-1.56,289.11,85.88,95263.63,19.01,109.13, ,61.285714285714285
53,47.32,62.03,8.0,5.41,0.63,58.99,-6.76,-2.64,287.51,95.09,93989.27,19.0,109.27, ,67.60000000000001
54,45.85,61.3,7.9,5.63,0.64,59.37,-5.85,-2.89,288.23,93.5,95120.85,19.0,109.41, ,65.5
55,45.73,61.68,7.69,6.01,0.65,57.79,-5.58,-2.32,288.09,94.72,95093.77,18.99,109.55, ,65.32857142857142
56,44.99,61.16,7.51,6.26,0.65,57.12,-4.74,-2.09,288.01,96.22,95229.96,18.99,109.69, ,64.27142857142857
57,42.35,58.48,7.54,6.23,0.64,58.93,-3.81,-2.5,288.62,95.71,96440.9,18.98,109.83, ,60.5
58,39.85,56.56,7.01,6.2,0.62,57.92,-3.55,-3.39,289.23,95.14,97653.7,18.98,109.97, ,56.92857142857143
59,36.4,53.23,6.67,6.12,0.6,59.19,-3.45,-4.08,290.05,93.78,99037.44,18.97,110.11, ,53.23
60,33.23,50.24,6.23,5.94,0.57,61.47,-3.45,-4.36,290.94,92.25,100286.59,18.96,110.25, ,50.24
61,30.41,46.66,5.31,4.34,0.51,65.36,-4.67,-5.07,292.14,88.98,101395.45,18.96,110.39, ,46.66
62,47.04,59.64,10.17,5.94,0.59,61.94,-5.52,-3.26,293.09,73.89,101689.38,19.16,108.72, ,67.2
63,42.63,56.49,9.9,5.53,0.6,64.5,-5.52,-2.6,293.05,73.83,101305.62,19.15,108.86, ,60.9
64,42.73,56.75,9.53,5.33,0.61,63.88,-7.16,-2.0,292.05,76.51,99732.65,19.15,109.0, ,61.042857142857144
65,44.71,59.33,9.07,5.36,0.63,61.57,-7.74,-1.21,289.68,86.23,96818.41,19.14,109.14, ,63.87142857142857
66,45.85,60.55,9.06,5.67,0.64,61.81,-5.8,-0.97,288.55,92.43,95737.94,19.14,109.28, ,65.5
67,45.09,60.85,8.8,6.04,0.65,60.29,-4.75,-1.36,288.95,92.4,96716.14,19.13,109.42, ,64.41428571428573
68,44.16,60.59,8.4,6.38,0.66,58.64,-4.99,-1.56,289.17,92.36,97151.13,19.13,109.56, ,63.085714285714275
69,44.3,61.31,7.81,6.94,0.66,55.23,-4.81,-1.81,288.93,94.62,97185.0,19.12,109.7, ,63.28571428571428
70,41.67,58.76,7.59,7.1,0.66,55.84,-4.27,-2.01,289.39,93.78,97931.49,19.11,109.84, ,59.52857142857143
71,38.47,55.62,7.3,7.01,0.64,57.08,-4.02,-2.56,289.83,92.67,98587.67,19.11,109.98, ,55.62
72,35.44,52.54,6.92,6.82,0.62,57.99,-3.8,-3.26,290.5,91.07,99659.42,19.1,110.12, ,52.54
73,31.85,48.78,6.62,6.56,0.59,60.6,-3.64,-3.78,291.57,88.22,101118.45,19.1,110.26, ,48.78
74,29.53,46.11,5.66,5.1,0.54,62.6,-4.08,-4.49,292.25,86.98,101831.16,19.09,110.4, ,46.11
75,29.18,44.27,5.11,3.59,0.48,67.3,-5.85,-5.52,292.76,86.36,102056.18,19.08,110.54, ,44.27
76,50.56,63.39,10.26,6.23,0.59,61.21,-6.76,-3.71,292.71,76.95,101790.92,19.29,108.72, ,72.22857142857143
77,46.2,60.54,10.18,6.28,0.61,61.47,-6.41,-2.86,292.64,76.77,101540.76,19.28,108.86, ,66.0
78,44.6,59.27,10.16,6.23,0.63,62.81,-6.6,-2.13,291.87,79.55,100362.95,19.28,109.0, ,63.714285714285715
79,45.14,60.39,9.85,6.24,0.64,61.96,-6.47,-1.28,290.42,85.7,98608.98,19.27,109.14, ,64.4857142857143
80,45.08,61.03,9.53,6.5,0.65,60.42,-5.53,-0.74,289.96,88.83,98362.61,19.27,109.28, ,64.4
81,44.11,60.84,9.22,6.94,0.66,58.93,-4.87,-1.1,290.14,88.83,98791.09,19.26,109.43, ,63.01428571428571
82,43.17,60.41,8.89,7.32,0.67,57.81,-4.49,-1.41,290.04,89.93,98757.84,19.26,109.57, ,61.67142857142858
83,41.62,59.13,8.6,7.9,0.68,57.0,-4.01,-1.52,290.13,90.57,99056.84,19.25,109.71, ,59.457142857142856
84,39.2,56.85,8.16,8.22,0.68,56.36,-3.83,-1.96,290.58,88.91,99671.24,19.25,109.85, ,56.85
85,36.82,54.36,7.74,8.04,0.67,56.95,-4.05,-2.32,290.76,88.2,99785.7,19.24,109.99, ,54.36
86,34.89,52.33,7.26,7.77,0.66,57.35,-4.24,-2.94,290.77,88.82,99897.26,19.23,110.13, ,52.33
87,31.96,49.24,6.84,7.33,0.63,58.97,-4.19,-3.42,291.38,87.37,100736.96,19.23,110.27, ,49.24
88,28.99,46.08,6.09,5.82,0.59,61.66,-4.59,-4.13,292.16,85.64,101684.36,19.22,110.41, ,46.08
89,29.21,45.59,5.39,4.29,0.52,64.58,-6.17,-5.3,292.59,85.91,102047.22,19.21,110.55, ,45.59
90,49.84,63.9,10.29,6.93,0.61,59.31,-7.08,-2.95,292.33,78.75,101630.64,19.42,108.87, ,71.2
91,46.54,61.69,10.35,7.3,0.64,59.57,-6.36,-1.98,292.03,80.1,101199.34,19.41,109.01, ,66.48571428571428
92,45.04,61.44,10.05,7.7,0.65,58.3,-5.97,-1.38,291.69,81.55,100715.82,19.41,109.15, ,64.34285714285714
93,44.33,61.23,9.75,7.88,0.67,57.24,-5.75,-1.03,291.31,83.27,100219.08,19.4,109.29, ,63.32857142857142
94,44.06,61.61,9.38,8.32,0.68,55.51,-5.69,-1.24,290.84,85.76,99761.62,19.4,109.43, ,62.94285714285714
95,43.19,61.47,8.84,8.78,0.7,53.07,-5.29,-1.48,290.74,87.03,99845.15,19.39,109.57, ,61.7
96,40.69,58.9,8.79,9.4,0.71,54.0,-4.62,-1.5,290.99,86.48,100241.75,19.38,109.71, ,58.9
97,39.3,57.75,8.23,9.63,0.72,52.82,-4.5,-2.01,291.0,86.63,100273.6,19.38,109.85, ,57.75
98,37.28,55.5,8.01,9.57,0.72,54.04,-4.74,-2.38,291.02,86.78,100228.96,19.37,109.99, ,55.5
99,35.73,53.92,7.35,9.26,0.71,53.58,-4.84,-2.9,291.08,86.95,100331.06,19.37,110.13, ,53.92
100,32.67,50.27,7.01,8.23,0.68,56.86,-4.55,-3.06,291.38,86.16,100653.52,19.36,110.27, ,50.27
101,29.84,47.08,6.5,6.93,0.63,59.45,-4.55,-3.45,291.77,85.4,101161.35,19.35,110.41, ,47.08
102,29.15,45.56,5.94,5.37,0.57,62.78,-5.59,-4.63,292.08,86.03,101584.25,19.35,110.55, ,45.56
103,51.38,65.93,10.06,7.35,0.61,56.57,-7.65,-2.38,292.07,80.49,101636.51,19.54,109.01, ,73.4
104,48.13,64.42,9.96,8.23,0.65,54.77,-6.64,-1.92,291.94,81.17,101472.67,19.54,109.16, ,68.75714285714287
105,45.49,62.6,10.08,9.04,0.67,54.31,-5.73,-1.34,291.75,81.99,101234.51,19.53,109.3, ,64.9857142857143
106,44.23,62.7,9.81,9.98,0.7,52.36,-5.72,-1.35,291.37,84.0,100789.48,19.53,109.44, ,63.185714285714276
107,43.55,62.79,9.41,10.81,0.73,50.07,-5.66,-1.64,291.03,85.69,100459.07,19.52,109.58, ,62.79
108,41.12,60.11,9.29,11.32,0.75,51.23,-5.06,-1.76,291.05,86.11,100466.63,19.52,109.72, ,60.11
109,39.28,58.34,8.9,11.3,0.77,51.22,-4.86,-2.12,291.2,85.93,100678.67,19.51,109.86, ,58.34
110,37.64,56.59,8.56,11.35,0.77,51.37,-4.94,-2.42,291.29,85.79,100756.31,19.51,110.0, ,56.59
111,35.78,54.4,7.92,10.57,0.76,52.21,-5.18,-2.85,291.37,85.79,100852.9,19.5,110.14, ,54.4
112,33.94,52.39,7.09,9.71,0.73,52.56,-5.36,-3.23,291.56,85.31,101089.8,19.49,110.28, ,52.39
113,31.22,48.73,6.89,8.16,0.68,56.5,-5.21,-3.19,291.6,85.41,101012.66,19.49,110.42, ,48.73
114,29.55,46.35,6.45,6.71,0.63,59.11,-5.11,-3.74,291.54,86.94,101122.99,19.48,110.56, ,46.35
115,28.9,44.92,6.07,5.23,0.55,62.87,-6.11,-4.86,292.12,86.2,101777.23,19.47,110.7, ,44.92
116,47.44,65.2,10.01,9.88,0.68,49.99,-7.04,-1.75,291.97,80.72,101798.94,19.67,109.3, ,67.77142857142857
117,44.39,64.1,9.85,11.08,0.73,48.18,-6.83,-1.78,291.66,82.53,101385.36,19.66,109.44, ,64.1
118,43.43,63.49,9.76,11.98,0.77,47.24,-6.76,-1.92,291.18,84.79,100815.69,19.66,109.58, ,63.49
119,42.04,62.34,9.39,12.73,0.8,46.46,-6.5,-2.19,291.03,86.2,100710.04,19.65,109.72, ,62.34
120,40.15,60.4,9.13,13.09,0.82,46.35,-6.3,-2.33,291.2,85.89,100933.15,19.64,109.87, ,60.4
121,38.41,58.5,8.9,13.25,0.82,46.91,-6.26,-2.59,291.39,85.39,101098.65,19.64,110.01, ,58.5
122,36.45,56.1,8.24,12.28,0.8,48.39,-6.27,-2.86,291.54,84.96,101249.65,19.63,110.15, ,56.1
123,34.41,53.48,7.42,10.85,0.77,50.33,-6.37,-3.39,291.69,84.64,101407.03,19.62,110.29, ,53.48
124,32.54,51.0,7.03,9.54,0.73,52.44,-6.33,-3.54,291.61,85.51,101293.51,19.62,110.43, ,51.0
125,30.24,48.03,6.72,8.02,0.68,55.51,-5.89,-3.57,291.58,86.39,101262.51,19.61,110.57, ,48.03
126,28.62,45.54,6.58,6.69,0.62,59.26,-6.14,-3.95,291.94,85.96,101729.01,19.6,110.71, ,45.54
127,28.67,45.57,6.01,5.34,0.55,61.98,-7.53,-5.77,292.33,85.61,102057.69,19.6,110.85, ,45.57
128,51.2,67.25,10.56,9.33,0.64,52.07,-7.06,-2.74,291.91,81.82,102030.65,19.8,109.31, ,73.14285714285714
129,46.01,64.55,10.5,10.95,0.71,49.61,-6.34,-2.48,291.65,82.84,101668.13,19.79,109.45, ,65.72857142857143
130,43.03,61.89,10.76,12.2,0.77,48.91,-5.98,-2.04,291.27,84.47,101161.09,19.79,109.59, ,61.89
131,41.11,61.2,10.3,13.23,0.83,46.54,-6.04,-2.3,291.17,85.62,101071.6,19.78,109.73, ,61.2
132,39.32,59.25,10.25,14.04,0.85,46.27,-5.92,-2.15,291.32,85.2,101245.73,19.78,109.87, ,59.25
133,37.83,57.63,10.09,14.45,0.85,46.46,-5.86,-2.39,291.47,84.84,101402.51,19.77,110.01, ,57.63
134,36.13,55.5,9.31,13.44,0.83,47.86,-6.05,-2.64,291.61,84.43,101479.85,19.76,110.15, ,55.5
135,34.42,53.25,8.31,11.69,0.8,49.9,-6.24,-3.02,291.63,84.63,101489.31,19.76,110.29, ,53.25
136,32.54,50.74,7.72,10.17,0.76,51.86,-6.37,-3.34,291.62,85.26,101505.65,19.75,110.44, ,50.74
137,30.47,48.09,7.23,8.61,0.71,54.27,-6.21,-3.5,291.64,85.83,101544.41,19.74,110.58, ,48.09
138,28.77,45.87,7.04,7.39,0.66,57.71,-6.51,-3.95,291.87,85.67,101754.88,19.74,110.72, ,45.87
139,28.43,45.89,6.44,6.16,0.59,60.24,-7.74,-5.22,292.11,86.0,101944.3,19.73,110.86, ,45.89
140,28.92,45.76,5.81,4.57,0.5,66.39,-8.61,-6.09,292.33,86.68,102042.01,19.72,111.0, ,45.76
141,46.51,64.27,10.97,11.32,0.72,49.93,-7.34,-2.86,291.43,84.69,101763.48,19.92,109.6, ,66.44285714285714
142,42.6,61.52,11.04,12.57,0.77,48.82,-6.52,-2.84,291.4,85.44,101677.16,19.92,109.74, ,61.52
143,39.78,58.51,11.45,13.67,0.8,49.01,-5.81,-2.5,291.57,84.8,101800.53,19.91,109.88, ,58.51
144,37.63,56.59,11.54,14.83,0.83,48.6,-5.64,-2.58,291.62,84.56,101812.25,19.9,110.02, ,56.59
145,35.82,54.43,10.94,14.25,0.84,49.66,-5.76,-2.64,291.5,84.99,101569.69,19.9,110.16, ,54.43
146,34.06,52.2,9.88,12.67,0.82,51.74,-5.84,-2.92,291.45,85.75,101486.09,19.89,110.3, ,52.2
147,32.3,50.04,8.88,10.64,0.76,53.61,-5.96,-3.14,291.67,85.13,101696.02,19.88,110.44, ,50.04
148,30.68,47.98,8.02,8.62,0.71,55.56,-6.52,-3.53,291.83,84.82,101833.45,19.88,110.58, ,47.98
149,29.84,47.34,7.4,7.74,0.66,55.92,-7.34,-4.09,291.84,85.04,101834.7,19.87,110.73, ,47.34
150,29.08,46.31,7.01,6.54,0.59,59.58,-8.05,-4.93,291.99,85.67,101908.88,19.86,110.87, ,46.31
151,38.17,58.02,11.18,13.99,0.8,48.39,-8.26,-3.37,291.61,85.2,101979.71,20.03,110.17, ,58.02
152,36.17,56.03,10.77,13.64,0.81,50.04,-8.19,-3.58,291.6,85.97,101905.44,20.02,110.31, ,56.03
153,34.36,53.97,9.51,11.37,0.74,52.39,-8.36,-3.75,291.8,85.49,102031.16,20.02,110.45, ,53.97
154,30.99,48.76,8.22,7.93,0.62,55.81,-8.06,-4.22,291.94,84.31,102030.25,20.0,110.73, ,48.76
155,44.65,61.51,12.76,13.68,0.83,49.44,-7.37,-3.3,290.98,82.42,102065.09,20.3,110.04, ,63.78571428571428
156,40.87,58.67,13.1,14.38,0.89,53.15,-7.52,-3.85,290.98,84.35,101813.12,20.3,110.18, ,58.67
157,39.78,58.6,12.7,14.02,0.84,54.14,-7.94,-4.17,291.1,85.82,101843.19,20.29,110.32, ,58.6
158,45.47,60.95,13.93,14.63,0.96,54.88,-7.84,-3.56,290.36,84.93,101613.34,20.43,110.05, ,64.95714285714286
159,42.43,58.46,13.92,14.87,1.0,57.96,-7.66,-3.91,290.01,87.76,101066.91,20.43,110.19, ,60.61428571428571
160,40.81,57.45,13.65,13.96,0.94,59.29,-7.41,-4.06,290.24,88.03,101260.86,20.42,110.33, ,58.300000000000004
161,40.22,57.85,12.94,12.8,0.81,57.83,-7.89,-4.36,290.96,86.65,101964.43,20.41,110.47, ,57.85
162,49.99,63.81,15.15,14.44,0.97,57.06,-7.62,-3.37,290.15,83.2,101660.59,20.57,109.91, ,71.41428571428573
163,46.11,60.76,15.39,14.87,1.04,61.26,-7.94,-3.63,289.74,86.67,101069.85,20.57,110.05, ,65.87142857142857
164,44.1,59.23,15.22,14.67,1.01,62.96,-7.86,-3.76,289.52,89.03,100777.02,20.56,110.2, ,63.0
165,42.35,57.88,14.76,14.38,0.94,63.42,-7.64,-3.95,290.0,88.33,101341.1,20.55,110.34, ,60.5
166,41.95,57.97,14.03,13.28,0.79,61.01,-8.0,-4.22,290.69,86.5,102054.72,20.55,110.48, ,59.92857142857143
167,53.49,66.08,16.15,14.88,0.97,56.9,-7.03,-3.11,289.95,80.08,102097.52,20.71,109.78, ,76.41428571428571
